member_id,region,num_profiles,num_kids,device_mix,num_devices,view_hours_30d,titles_started,titles_completed,titles_abandoned,completion_rate,active_days_30d,thumbs_up,my_list_saves,kids_content_hours,tenure_months,churned
M000001,North America,2,0,web_only,1,19.4,5,3,2,0.6,27,8,6,0.1,58,0
M000002,Asia Pacific,4,1,mobile_only,1,16.4,11,8,3,0.727,21,7,9,14.4,68,0
M000003,Latin America,1,1,tv_only,1,22.5,17,14,3,0.824,7,5,6,2.2,33,0
M000004,Europe,1,0,multi_device,2,14.0,13,10,3,0.769,29,7,7,0.4,24,0
M000005,North America,3,0,tv_only,1,10.6,7,3,4,0.429,26,3,5,0.6,79,0
M000006,North America,4,0,multi_device,2,24.1,10,5,5,0.5,5,2,7,0.2,9,0
M000007,North America,2,0,multi_device,2,43.6,14,10,4,0.714,9,4,6,0.1,68,0
M000008,Asia Pacific,2,1,multi_device,2,71.5,11,10,1,0.909,9,2,7,25.8,30,0
M000009,Europe,3,0,tv_only,1,25.1,15,8,7,0.533,29,5,5,0.2,5,1
M000010,Latin America,4,0,tv_only,1,63.8,13,7,6,0.538,12,5,4,0.0,92,0
M000011,North America,4,0,web_only,1,10.3,16,7,9,0.438,19,8,5,0.3,19,0
M000012,Asia Pacific,5,0,tv_only,1,42.4,14,5,9,0.357,24,4,6,1.1,29,0
M000013,Latin America,1,3,multi_device,4,19.1,10,2,8,0.2,26,3,5,13.4,31,0
M000014,North America,1,0,multi_device,4,88.6,15,12,3,0.8,21,2,12,0.8,50,0
M000015,North America,3,2,web_only,1,15.3,15,6,9,0.4,21,2,7,16.5,20,0
M000016,North America,4,2,multi_device,3,29.6,14,6,8,0.429,7,2,6,54.5,84,0
M000017,North America,2,0,tv_only,1,6.3,7,2,5,0.286,13,6,4,0.4,31,0
M000018,Europe,1,1,multi_device,4,17.9,6,4,2,0.667,1,4,4,16.6,37,0
M000019,Europe,3,0,tv_only,1,47.7,9,4,5,0.444,17,3,5,0.8,23,1
M000020,North America,1,1,multi_device,4,41.4,10,6,4,0.6,27,4,8,2.7,58,0
M000021,Europe,2,0,web_only,1,29.8,17,13,4,0.765,8,0,11,0.6,27,0
M000022,North America,2,2,mobile_only,1,42.7,9,7,2,0.778,18,0,2,13.9,5,1
M000023,North America,3,0,tv_only,1,23.5,10,4,6,0.4,21,2,6,0.0,57,0
M000024,North America,3,2,web_only,1,67.8,8,1,7,0.125,25,4,5,0.9,18,0
M000025,Europe,2,0,multi_device,2,5.9,13,4,9,0.308,1,2,5,3.4,72,0
M000026,Latin America,3,2,mobile_only,1,29.2,12,10,2,0.833,20,4,5,1.7,42,0
M000027,North America,3,0,multi_device,4,7.0,10,7,3,0.7,21,6,7,2.7,120,0
M000028,Europe,2,1,multi_device,3,11.1,15,7,8,0.467,15,4,6,7.7,66,0
M000029,Europe,3,0,multi_device,4,16.9,8,3,5,0.375,13,4,4,0.0,34,0
M000030,North America,2,0,multi_device,3,19.6,13,4,9,0.308,10,5,4,0.9,99,0
M000031,Europe,1,1,mobile_only,1,23.8,9,2,7,0.222,30,3,6,27.1,43,0
M000032,North America,1,3,multi_device,3,24.0,11,6,5,0.545,6,1,6,20.5,23,0
M000033,North America,1,0,multi_device,3,16.1,12,10,2,0.833,24,6,4,0.3,30,0
M000034,Asia Pacific,2,2,multi_device,2,25.5,6,2,4,0.333,22,1,8,29.4,11,1
M000035,Asia Pacific,4,1,multi_device,2,9.0,7,3,4,0.429,28,1,4,8.8,32,0
M000036,Latin America,3,2,multi_device,4,44.5,11,4,7,0.364,29,0,10,2.5,28,0
M000037,North America,3,0,tv_only,1,38.1,16,5,11,0.312,25,3,5,1.5,63,0
M000038,North America,2,0,multi_device,4,67.2,13,7,6,0.538,3,4,3,7.2,16,0
M000039,Latin America,2,2,multi_device,2,33.8,16,13,3,0.812,26,4,5,11.4,61,0
M000040,Europe,2,0,mobile_only,1,36.6,8,2,6,0.25,13,3,9,1.3,54,0
M000041,North America,1,0,multi_device,4,36.2,11,4,7,0.364,16,4,5,1.9,64,0
M000042,Europe,1,0,tv_only,1,13.0,7,2,5,0.286,5,4,8,0.0,17,1
M000043,North America,3,0,web_only,1,29.0,14,4,10,0.286,9,5,2,0.3,110,0
M000044,Asia Pacific,5,1,multi_device,4,18.5,15,8,7,0.533,24,4,9,22.6,75,0
M000045,North America,1,1,multi_device,4,31.1,10,2,8,0.2,23,9,9,26.0,50,0
M000046,Europe,1,1,multi_device,2,34.5,23,7,16,0.304,19,7,6,16.5,74,0
M000047,North America,3,0,multi_device,2,41.0,12,7,5,0.583,15,4,11,1.0,36,0
M000048,Europe,2,0,web_only,1,36.0,7,3,4,0.429,9,6,6,0.1,42,1
M000049,Europe,4,0,multi_device,4,36.7,13,8,5,0.615,25,5,3,0.0,49,0
M000050,North America,3,0,tv_only,1,19.3,9,7,2,0.778,15,4,7,0.8,29,0
M000051,Asia Pacific,4,2,tv_only,1,111.8,10,6,4,0.6,14,5,7,5.2,43,0
M000052,Latin America,2,2,web_only,1,35.1,4,1,3,0.25,19,1,9,15.1,36,0
M000053,Asia Pacific,3,0,multi_device,4,26.4,11,10,1,0.909,25,3,8,0.0,85,0
M000054,Asia Pacific,2,2,web_only,1,52.5,15,10,5,0.667,17,2,6,4.0,75,0
M000055,Europe,3,0,multi_device,2,20.8,15,8,7,0.533,1,5,7,2.6,48,0
M000056,Asia Pacific,2,1,multi_device,4,7.3,18,6,12,0.333,27,4,6,4.4,30,0
M000057,North America,1,0,mobile_only,1,15.0,13,10,3,0.769,1,6,7,1.0,52,0
M000058,North America,2,1,multi_device,3,10.7,12,6,6,0.5,19,3,8,1.1,70,0
M000059,North America,2,0,web_only,1,31.7,14,13,1,0.929,13,3,5,3.3,100,0
M000060,North America,4,0,web_only,1,43.9,13,10,3,0.769,24,3,8,0.1,18,1
M000061,North America,3,0,multi_device,3,9.6,13,7,6,0.538,22,2,6,1.3,55,0
M000062,North America,3,0,multi_device,3,37.8,14,10,4,0.714,23,5,5,2.2,28,0
M000063,Latin America,1,0,multi_device,3,36.0,10,5,5,0.5,6,1,4,0.5,50,0
M000064,North America,3,0,multi_device,4,65.1,12,7,5,0.583,29,10,4,0.8,36,0
M000065,North America,2,0,multi_device,4,49.1,8,6,2,0.75,16,1,14,2.3,55,0
M000066,Europe,4,1,multi_device,4,15.0,16,4,12,0.25,17,6,4,16.8,20,0
M000067,North America,4,0,mobile_only,1,19.5,14,12,2,0.857,12,2,2,0.6,33,0
M000068,Latin America,1,1,mobile_only,1,20.8,15,8,7,0.533,5,5,3,12.4,64,0
M000069,North America,4,0,mobile_only,1,59.5,6,5,1,0.833,16,2,6,0.3,18,0
M000070,Asia Pacific,1,3,web_only,1,67.8,9,4,5,0.444,11,5,7,3.2,64,0
M000071,Latin America,2,2,tv_only,1,35.1,10,7,3,0.7,7,3,8,5.7,68,0
M000072,North America,2,0,multi_device,3,8.0,9,5,4,0.556,14,2,1,0.1,16,0
M000073,North America,1,1,multi_device,2,22.8,12,7,5,0.583,24,5,6,4.5,28,0
M000074,Latin America,3,0,multi_device,4,85.7,20,15,5,0.75,21,6,2,0.4,15,0
M000075,Latin America,1,2,tv_only,1,27.0,6,4,2,0.667,8,3,6,15.4,43,0
M000076,Latin America,1,0,tv_only,1,1.6,8,6,2,0.75,30,2,5,0.0,17,1
M000077,Latin America,3,0,tv_only,1,25.1,10,6,4,0.6,21,2,2,1.0,60,0
M000078,North America,3,0,multi_device,4,54.4,19,9,10,0.474,1,4,7,2.4,40,1
M000079,North America,4,0,web_only,1,6.3,14,7,7,0.5,27,5,12,0.4,8,1
M000080,North America,3,0,web_only,1,8.4,17,2,15,0.118,28,3,5,0.0,61,0
M000081,Asia Pacific,3,1,multi_device,2,58.1,8,3,5,0.375,27,2,5,9.3,43,0
M000082,Europe,2,0,multi_device,2,39.0,13,9,4,0.692,21,1,7,0.0,110,0
M000083,North America,1,0,mobile_only,1,38.1,16,12,4,0.75,29,6,6,0.7,55,0
M000084,North America,1,0,multi_device,2,5.0,9,5,4,0.556,1,3,2,0.0,11,1
M000085,North America,2,0,multi_device,4,16.1,13,6,7,0.462,4,3,10,0.3,29,0
M000086,North America,3,0,multi_device,2,35.8,8,4,4,0.5,24,3,10,0.4,15,0
M000087,Latin America,2,2,tv_only,1,10.5,13,7,6,0.538,6,3,7,16.4,63,0
M000088,Europe,3,0,web_only,1,34.1,9,4,5,0.444,18,3,4,0.0,120,0
M000089,Asia Pacific,2,1,tv_only,1,10.8,7,2,5,0.286,14,6,6,2.6,10,1
M000090,Europe,1,0,multi_device,2,7.4,17,8,9,0.471,28,3,7,6.1,63,0
M000091,North America,1,0,web_only,1,35.0,10,5,5,0.5,19,4,5,0.5,49,0
M000092,Latin America,4,1,multi_device,2,27.0,9,3,6,0.333,17,3,6,7.9,15,0
M000093,Latin America,3,0,web_only,1,23.1,11,6,5,0.545,6,3,6,0.9,25,0
M000094,Europe,4,0,tv_only,1,24.6,11,3,8,0.273,26,4,6,1.7,120,0
M000095,Latin America,1,1,web_only,1,24.6,13,3,10,0.231,16,3,5,17.8,28,0
M000096,Europe,5,0,mobile_only,1,5.8,12,8,4,0.667,26,3,2,0.1,41,0
M000097,Europe,1,0,multi_device,4,43.8,11,9,2,0.818,15,6,7,0.0,85,0
